"name","1900","1910","1920","1930","1940","1950","1960","1970","1980","1990","2000","2010","2020","2030","2040","2050","2060"
"Chauncey Creek","20134000.012207031","22726790.0390625","23899940.008544922","21597650.036621094","17654289.996337891","24684939.764404297","25916999.816894531","27720639.965820312","28268419.897460938","22599290.093994141","26942079.943847656","20134000.012207031","24718757.116699219","25860190.594482422","30027347.668457031","26246818.481445312","27988914.831542969"
"Coal Creek","46880570.21484375","68088259.552001953","69357700.177001953","60322039.672851562","51035279.888916016","67511539.825439453","74990470.574951172","70958430.554199219","67639569.885253906","58241860.314941406","62511430.114746094","46880570.21484375","62224836.102294922","63125371.350097656","76064936.767578125","63048985.424804688","71836244.348144531"
"Corbin Creek","17774939.904785156","25137459.729003906","27080610.076904297","23821669.989013672","21127950.158691406","25625610.308837891","29206480.078125","26677519.62890625","27262800.207519531","22521669.891357422","22848810.107421875","17774939.904785156","25467661.956787109","25441999.169921875","29560041.021728516","24889182.269287109","29064667.321777344"
"Crossing Creek","15036859.991455078","18790819.989013672","18575399.969482422","15925010.101318359","12058670.001220703","18164370.056152344","20233600.201416016","21308599.908447266","22036269.982910156","17442800.091552734","21263860.052490234","15036859.991455078","18248931.994628906","18714897.235107422","22928260.003662109","19177488.922119141","21174685.003662109"
"Cummings Creek - Lower","3830979.9377441406","7417240.087890625","7747360.1257324219","5560199.9633789062","2608569.8974609375","7389839.8986816406","8853449.951171875","9122539.8864746094","9047159.9487304688","5942139.8742675781","7846869.9401855469","3830979.9377441406","6184057.8552246094","6197222.9370117188","9437037.7014160156","6116020.1293945312","7908642.08984375"
"Cummings Creek - Upper","25691679.748535156","34088010.302734375","33414119.921875","28313849.816894531","21759089.94140625","32170100.146484375","35715560.034179688","37159550.1953125","37764409.899902344","31157429.974365234","36168339.837646484","25691679.748535156","32804126.245117188","33139794.641113281","40105796.801757812","32999417.797851562","37314728.784179688"
"Dry Creek","10767169.909667969","13118879.968261719","14193310.119628906","12371820.068359375","9179840.0939941406","14333229.974365234","15616120.184326172","16017950.0","16510979.870605469","12806929.986572266","15283080.17578125","10767169.909667969","13646931.146240234","13932216.967773438","17282404.119873047","14252509.124755859","15899166.119384766"
"Elk Face Unit - E of Elko","21964789.965820312","39325089.929199219","38940680.517578125","31494370.092773438","25701339.654541016","37443229.943847656","42857950.268554688","38775980.267333984","33918660.266113281","30093459.802246094","31989999.865722656","21964789.965820312","30536861.029052734","30857989.428710938","40272821.771240234","30938661.889648438","35978161.083984375"
"Elk Face Unit - N of Cadorna Cr","19121240.161132812","22759129.937744141","23410939.94140625","20190579.943847656","15498440.100097656","22172850.109863281","25937640.191650391","25785680.053710938","26736330.242919922","20380470.056152344","26484480.206298828","19121240.161132812","22972777.960205078","23871174.127197266","27570370.135498047","24448762.6953125","25446325.506591797"
"Elk Face Unit - N of Elkford 1","3232839.9291992188","6418870.0744628906","6495320.0866699219","4221959.9609375","656660.09521484375","6615140.087890625","8557540.0329589844","9249999.9938964844","9941389.8681640625","5449819.9645996094","8769239.9841308594","3232839.9291992188","5808586.9262695312","6161917.1142578125","9637858.5693359375","6038211.0961914062","7990985.9191894531"
"Elk Face Unit - N of Elkford 2","6994599.90234375","10374900.042724609","10020010.021972656","7650009.7106933594","3834940.0268554688","10156940.142822266","12255479.98046875","13139459.991455078","13941029.846191406","9214670.0012207031","13105690.447998047","6994599.90234375","9567602.9052734375","10182343.988037109","13942277.850341797","10325222.094726562","12086488.848876953"
"Elk Face Unit - N of Forsyth Cr","13626000.018310547","18620950.140380859","18578280.120849609","14419839.819335938","6826360.2294921875","19290749.969482422","23978859.857177734","24977310.052490234","26385499.731445312","16719680.37109375","24921780.010986328","13626000.018310547","18385300.958251953","19873116.796875","26650172.192382812","20506266.021728516","22966474.304199219"
"Elk Face Unit - NE of Elkford","-283099.89624023438","3409700.4028320312","3534309.9060058594","1067130.1635742188","-2506610.0219726562","3730870.0256347656","5497170.2209472656","6074549.951171875","6675870.1049804688","2368720.1416015625","5485779.9133300781","-283099.89624023438","2218051.9897460938","2339367.9809570312","6212490.6494140625","2294737.2680664062","4321532.1044921875"
"Elk Face Unit - NE of Fernie","13230809.954833984","28521570.050048828","29642369.763183594","22519799.877929688","14099019.653320312","28763759.765625","33683389.733886719","32248759.973144531","30654809.802246094","21122420.330810547","25460629.669189453","13230809.954833984","22259152.465820312","22182662.744140625","32933774.816894531","22052270.935058594","28154536.779785156"
"Elk Face Unit - NE of Sparwood","-2319639.892578125","1835480.1086425781","2862009.9914550781","219760.06469726562","-3579080.2001953125","2616779.9743652344","4246400.146484375","4241159.9060058594","4304910.009765625","136060.09521484375","2448659.8266601562","-2319639.892578125","-148711.60888671875","-230221.25244140625","3586619.7265625","-597015.73486328125","1421704.19921875"
"Elk Face Unit - S of Elkford","-3036500.0061035156","813159.8388671875","1237999.8352050781","-1298499.9694824219","-4940450.1281738281","1331939.9841308594","2923809.8571777344","3336379.9865722656","3637859.9853515625","-284870.00732421887","2394390.1977539062","-3036500.0061035156","-1152966.8701171875","-1109931.9152832031","2807557.1716308594","-1345547.6196289062","448822.36328125"
"Elk Face Unit - S of Elko","-5174609.9243164062","-2673649.9633789062","-2340069.9829101562","-4040720.0317382812","-5127549.9389648438","-2972960.0708007812","-1601109.8876953125","-2694780.1635742188","-3452510.0708007812","-3981180.0659179688","-3746479.9926757812","-5174609.9243164062","-4857868.6767578125","-5133442.0043945312","-3515894.921875","-5264867.138671875","-4665520.9228515625"
"Elk Face Unit - SE of Fernie","15966649.975585938","27702850.079345703","27396569.696044922","22668040.124511719","18340479.876708984","27001560.076904297","30171670.123291016","28398159.893798828","25728879.718017578","21892050.036621094","23975030.017089844","15966649.975585938","22717333.447265625","23042206.115722656","29744269.226074219","23092619.006347656","26799716.906738281"
"Elk Face Unit - SW of Fernie","33136120.147705078","50846709.954833984","49470630.303955078","42545550.061035156","36203700.268554688","48500790.197753906","53759699.877929688","51386720.458984375","47156669.964599609","42101370.1171875","45140140.008544922","33136120.147705078","43468064.123535156","44266444.482421875","54746242.810058594","44780790.588378906","50531732.275390625"
"Elk Face Unit - SW of Sparwood","-315879.98657226562","2160039.8620605469","2509560.1196289062","1054250.0427246094","-880479.9072265625","2381310.1135253906","3285050.1342773438","3307630.1513671875","3218009.8510742188","959070.10498046875","2277340.0146484375","-315879.98657226562","977223.8525390625","915635.82763671875","3064519.1162109375","791691.2109375","1950123.92578125"
"Erickson Creek","5003350.0122070312","8342440.0207519531","9597320.1293945312","7536979.8645019531","4658690.2160644531","9178249.90234375","10815600.231933594","10153950.201416016","10053470.031738281","7322819.9951171875","8444740.1611328125","5003350.0122070312","7829151.1108398438","7919543.9819335938","10791861.791992188","7850664.9536132812","9674348.1323242188"
"Ewin Creek","19399930.090332031","22689320.013427734","24420570.01953125","22056610.119628906","17627529.852294922","24987839.886474609","26526820.294189453","27560459.967041016","28303590.228271484","22489780.047607422","26205550.128173828","19399930.090332031","24202654.779052734","25086953.100585938","29817145.715332031","25411339.94140625","27667421.527099609"
"Ewin Creek - North","11829079.962158203","13462509.790039062","14443140.002441406","13182000.207519531","10829139.880371094","14759389.74609375","15548510.119628906","16313839.916992188","16661879.974365234","13448309.918212891","15617030.187988281","11829079.962158203","14618918.06640625","15186332.415771484","17689983.233642578","15361801.953125","16503259.942626953"
"Fairy Creek","17562159.991455078","23749410.168457031","22826639.739990234","20567169.958496094","18048270.184326172","22766120.1171875","24513859.857177734","24601880.120849609","23625939.910888672","21294630.133056641","22970399.90234375","17562159.991455078","22390982.916259766","22770012.835693359","26793907.983398438","23000211.737060547","25584827.185058594"
"Fording River - Lower","4675670.01953125","7271320.0805664062","7915350.0671386719","6095260.05859375","3402740.1123046875","7969970.1782226562","9132780.078125","9353530.0415039062","9695389.892578125","6727919.7204589844","8709320.1416015625","4675670.01953125","6903220.9167480469","7076531.0852050781","9913235.1806640625","7134424.169921875","8557229.7973632812"
"Fording River - Upper","15461019.927978516","17806979.919433594","18110379.858398438","16394159.875488281","12846859.912109375","18921809.887695312","20307150.134277344","21447900.201416016","22614069.970703125","17400469.982910156","21386780.035400391","15461019.927978516","19376061.981201172","20212767.932128906","23255766.168212891","20548504.034423828","22143411.022949219"
"Forsyth Creek - Lower","14091440.014648438","17643469.805908203","16819980.053710938","14416330.090332031","10549519.989013672","16793240.179443359","19477310.021972656","20179560.076904297","21236030.303955078","16066270.373535156","20598580.187988281","14091440.014648438","17440912.243652344","18246269.152832031","21964752.294921875","18765857.672119141","20468215.905761719"
"Forsyth Creek - Upper","58199130.285644531","67108919.769287109","64753289.874267578","58983259.866333008","51239249.768066406","63148309.89074707","69227579.418945312","71601640.341186523","72913029.727172852","62510360.018920898","73703279.736328125","58199130.285644531","67302488.226318359","70302460.894775391","77984733.343505859","72564576.293945312","74752975.872802734"
